filename.meta,filename,language,modelLanguage
1898956615.meta.json,1898956615.json,de,bpmn20
1899073462.meta.json,1899073462.json,de,epc
1899121415.meta.json,1899121415.json,en,organigram
18992730.meta.json,18992730.json,en,bpmn20
820282713.meta.json,820282713.json,sv,UML22Class
82030440.meta.json,82030440.json,en,epc
820337237.meta.json,820337237.json,de,bpmn20
820441372.meta.json,820441372.json,de,bpmn20
820473494.meta.json,820473494.json,hr,bpmn20
820503891.meta.json,820503891.json,en,epc
220029366.meta.json,220029366.json,fr,bpmn20
220110702.meta.json,220110702.json,en,epc
220146672.meta.json,220146672.json,en,bpmn20
220323875.meta.json,220323875.json,en,epc
22033066.meta.json,22033066.json,en,bpmn20
220356484.meta.json,220356484.json,sv,bpmn20
220371196.meta.json,220371196.json,en,bpmn20
205791772.meta.json,205791772.json,de,bpmn11
2057931350.meta.json,2057931350.json,en,bpmn20
2057939236.meta.json,2057939236.json,en,bpmn20
2057947461.meta.json,2057947461.json,en,bpmn20
2058034912.meta.json,2058034912.json,en,epc
205805621.meta.json,205805621.json,de,bpmn20
2058120372.meta.json,2058120372.json,de,bpmn20
2058122562.meta.json,2058122562.json,de,bpmn20
2058190936.meta.json,2058190936.json,pt,petrinet
2058237039.meta.json,2058237039.json,en,bpmn20
1988020896.meta.json,1988020896.json,de,bpmn20
1988030247.meta.json,1988030247.json,en,bpmn20
1988064420.meta.json,1988064420.json,en,epc
1988096983.meta.json,1988096983.json,en,petrinet
19881510.meta.json,19881510.json,en,bpmn20conversation
198815525.meta.json,198815525.json,en,bpmn20choreography
1988193220.meta.json,1988193220.json,de,bpmn20
1988245047.meta.json,1988245047.json,it,bpmn11
1988308965.meta.json,1988308965.json,hu,epc
620373904.meta.json,620373904.json,en,bpmn20
620445114.meta.json,620445114.json,hu,bpmn20
620453484.meta.json,620453484.json,hu,epc
620550648.meta.json,620550648.json,en,bpmn20
620713296.meta.json,620713296.json,de,bpmn20
620741412.meta.json,620741412.json,de,bpmn20
62088125.meta.json,62088125.json,en,epc
1734291926.meta.json,1734291926.json,sv,bpmn20
1734311684.meta.json,1734311684.json,en,bpmn20
1734368305.meta.json,1734368305.json,de,bpmn20
1734497783.meta.json,1734497783.json,en,bpmn20
1734498085.meta.json,1734498085.json,en,bpmn20
173454533.meta.json,173454533.json,en,epc
1734640141.meta.json,1734640141.json,de,bpmn20
461933123.meta.json,461933123.json,de,epc
461954046.meta.json,461954046.json,en,epc
462133319.meta.json,462133319.json,en,bpmn20
462276758.meta.json,462276758.json,en,bpmn20
462301578.meta.json,462301578.json,en,bpmn20
462404274.meta.json,462404274.json,de,bpmn20
462447839.meta.json,462447839.json,en,bpmn20
1639097917.meta.json,1639097917.json,en,bpmn20
1639216544.meta.json,1639216544.json,de,bpmn20
163925670.meta.json,163925670.json,en,organigram
16392699.meta.json,16392699.json,en,bpmn20
1639476147.meta.json,1639476147.json,de,bpmn20
1639529575.meta.json,1639529575.json,de,bpmn20
2060217622.meta.json,2060217622.json,en,bpmn20
206376083.meta.json,206376083.json,de,bpmn20
2064251878.meta.json,2064251878.json,en,bpmn20
206850748.meta.json,206850748.json,en,bpmn11
2070870143.meta.json,2070870143.json,en,bpmn20
744507171.meta.json,744507171.json,cs,bpmn20
744508229.meta.json,744508229.json,undetermined language,bpmn20
744688408.meta.json,744688408.json,en,bpmn20
744754410.meta.json,744754410.json,it,bpmn20
74489583.meta.json,74489583.json,de,bpmn20
744947191.meta.json,744947191.json,de,bpmn20
1035274499.meta.json,1035274499.json,en,bpmn20
1035284164.meta.json,1035284164.json,de,bpmn20
1035394039.meta.json,1035394039.json,de,bpmn11
103548326.meta.json,103548326.json,de,bpmn20
1035516956.meta.json,1035516956.json,en,bpmn20
1035605564.meta.json,1035605564.json,en,bpmn20
1035687371.meta.json,1035687371.json,en,bpmn20
1035719702.meta.json,1035719702.json,de,bpmn20
1035868497.meta.json,1035868497.json,de,epc
1035869279.meta.json,1035869279.json,en,bpmn20
103596521.meta.json,103596521.json,de,bpmn20
1035987834.meta.json,1035987834.json,de,bpmn20
1308724075.meta.json,1308724075.json,fr,bpmn20
1308811102.meta.json,1308811102.json,en,bpmn20
1308836049.meta.json,1308836049.json,de,bpmn20
1308860845.meta.json,1308860845.json,it,bpmn20
1308861399.meta.json,1308861399.json,en,bpmn20
1308916042.meta.json,1308916042.json,en,bpmn20
1308946455.meta.json,1308946455.json,en,petrinet
1309041057.meta.json,1309041057.json,en,bpmn11
1309063378.meta.json,1309063378.json,en,bpmn20
1309090254.meta.json,1309090254.json,en,bpmn20
1827152230.meta.json,1827152230.json,de,bpmn11
182719595.meta.json,182719595.json,en,bpmn20
1827275439.meta.json,1827275439.json,en,bpmn20
182728032.meta.json,182728032.json,en,bpmn20
1827314962.meta.json,1827314962.json,de,bpmn20
1827452780.meta.json,1827452780.json,de,epc
1827454368.meta.json,1827454368.json,en,epc
1827542745.meta.json,1827542745.json,en,bpmn11
1827619279.meta.json,1827619279.json,en,bpmn11
1827809326.meta.json,1827809326.json,undetermined language,bpmn20
1827852756.meta.json,1827852756.json,hr,bpmn20
968382344.meta.json,968382344.json,de,bpmn20
968504013.meta.json,968504013.json,de,petrinet
968572172.meta.json,968572172.json,en,bpmn20
968688130.meta.json,968688130.json,hu,bpmn11
968717054.meta.json,968717054.json,hu,bpmn20
968718893.meta.json,968718893.json,en,bpmn20
968804121.meta.json,968804121.json,hr,bpmn11
1107125212.meta.json,1107125212.json,en,bpmn20conversation
1107187013.meta.json,1107187013.json,de,organigram
110720309.meta.json,110720309.json,de,bpmn20
1107525096.meta.json,1107525096.json,en,processmap
110756103.meta.json,110756103.json,es,bpmn11
1107605951.meta.json,1107605951.json,de,bpmn20
1108026197.meta.json,1108026197.json,en,bpmn20
1108235965.meta.json,1108235965.json,en,epc
1108285941.meta.json,1108285941.json,en,bpmn11
1108335726.meta.json,1108335726.json,en,bpmn20
110842211.meta.json,110842211.json,en,epc
544812059.meta.json,544812059.json,en,bpmn20
544817933.meta.json,544817933.json,undetermined language,bpmn20
544904963.meta.json,544904963.json,en,bpmn20
54500049.meta.json,54500049.json,de,epc
545046793.meta.json,545046793.json,undetermined language,bpmn20
545095267.meta.json,545095267.json,de,bpmn20
545223408.meta.json,545223408.json,en,bpmn20
545247041.meta.json,545247041.json,de,bpmn20
118135632.meta.json,118135632.json,hu,epc
1181398379.meta.json,1181398379.json,en,bpmn20
1181447691.meta.json,1181447691.json,de,bpmn20
1181563056.meta.json,1181563056.json,en,bpmn20
1181598318.meta.json,1181598318.json,en,bpmn11
1181660092.meta.json,1181660092.json,de,bpmn20
1181741165.meta.json,1181741165.json,en,bpmn20
1181823490.meta.json,1181823490.json,en,bpmn20
1181850306.meta.json,1181850306.json,en,processmap
1181855665.meta.json,1181855665.json,de,bpmn20
1479649574.meta.json,1479649574.json,en,epc
1479720307.meta.json,1479720307.json,no,bpmn20
1479740449.meta.json,1479740449.json,en,bpmn20
1479804440.meta.json,1479804440.json,en,petrinet
1479831962.meta.json,1479831962.json,en,bpmn11
1479893130.meta.json,1479893130.json,en,bpmn20
1480001337.meta.json,1480001337.json,en,bpmn20
68516793.meta.json,68516793.json,en,bpmn20
685231453.meta.json,685231453.json,de,bpmn20
685277099.meta.json,685277099.json,de,processmap
685397869.meta.json,685397869.json,en,bpmn20
685474355.meta.json,685474355.json,hu,petrinet
685545715.meta.json,685545715.json,en,epc
685572306.meta.json,685572306.json,en,bpmn20
140821669.meta.json,140821669.json,en,bpmn20
1408365748.meta.json,1408365748.json,hu,epc
1408502544.meta.json,1408502544.json,en,bpmn20
1408558635.meta.json,1408558635.json,undetermined language,bpmn20
1408596027.meta.json,1408596027.json,en,processmap
1408634496.meta.json,1408634496.json,undetermined language,processmap
1408679253.meta.json,1408679253.json,en,fmcblockdiagram
1408781053.meta.json,1408781053.json,de,bpmn20
1408852994.meta.json,1408852994.json,en,bpmn20
1408871079.meta.json,1408871079.json,de,bpmn20
366259011.meta.json,366259011.json,en,epc
366283509.meta.json,366283509.json,de,bpmn20
36631309.meta.json,36631309.json,en,bpmn20
366353097.meta.json,366353097.json,undetermined language,bpmn20
36640976.meta.json,36640976.json,en,bpmn11
366443175.meta.json,366443175.json,en,organigram
366472592.meta.json,366472592.json,de,bpmn20
899263510.meta.json,899263510.json,en,bpmn20
899272074.meta.json,899272074.json,de,bpmn20
899440738.meta.json,899440738.json,en,epc
899443646.meta.json,899443646.json,de,bpmn20
899487223.meta.json,899487223.json,en,bpmn20
899530347.meta.json,899530347.json,en,bpmn20
1555063139.meta.json,1555063139.json,de,processmap
1555064179.meta.json,1555064179.json,es,bpmn20choreography
1555194811.meta.json,1555194811.json,en,bpmn11
1555389404.meta.json,1555389404.json,de,bpmn11
1555405409.meta.json,1555405409.json,en,bpmn20
1555563292.meta.json,1555563292.json,de,bpmn20
1555656829.meta.json,1555656829.json,en,bpmn20choreography
1555664601.meta.json,1555664601.json,en,bpmn11
1246942807.meta.json,1246942807.json,de,bpmn20
1246957024.meta.json,1246957024.json,en,bpmn20
1246992738.meta.json,1246992738.json,de,epc
1246998203.meta.json,1246998203.json,de,bpmn20
1247009138.meta.json,1247009138.json,undetermined language,UML22Class
1247072196.meta.json,1247072196.json,en,bpmn11
1247075655.meta.json,1247075655.json,de,bpmn20
1247085615.meta.json,1247085615.json,en,bpmn20
1247139680.meta.json,1247139680.json,en,bpmn20
1247146572.meta.json,1247146572.json,en,bpmn20
294389985.meta.json,294389985.json,undetermined language,UML22Class
294395661.meta.json,294395661.json,en,epc
294414863.meta.json,294414863.json,ro,petrinet
294456790.meta.json,294456790.json,en,bpmn20
294460842.meta.json,294460842.json,en,bpmn20
294488869.meta.json,294488869.json,ru,bpmn20
294562954.meta.json,294562954.json,de,bpmn20
294581956.meta.json,294581956.json,en,epc
294644781.meta.json,294644781.json,en,bpmn20
294671305.meta.json,294671305.json,sv,bpmn20
294671607.meta.json,294671607.json,en,bpmn11
803637865.meta.json,803637865.json,hu,bpmn20
803751324.meta.json,803751324.json,undetermined language,bpmn20
803779366.meta.json,803779366.json,en,bpmn20
803813505.meta.json,803813505.json,en,bpmn20choreography
803913294.meta.json,803913294.json,undetermined language,UML22Class
804027997.meta.json,804027997.json,en,bpmn20
804104401.meta.json,804104401.json,de,bpmn20
804249707.meta.json,804249707.json,en,epc
804298941.meta.json,804298941.json,hr,bpmn11
804341976.meta.json,804341976.json,en,bpmn20
1706323169.meta.json,1706323169.json,zh-cn,bpmn11
1706415731.meta.json,1706415731.json,de,UML22Class
1706465856.meta.json,1706465856.json,es,bpmn20
1706573942.meta.json,1706573942.json,en,epc
1706587566.meta.json,1706587566.json,en,bpmn20
1706647427.meta.json,1706647427.json,en,bpmn20
1706649533.meta.json,1706649533.json,en,bpmn20
1753913709.meta.json,1753913709.json,en,bpmn20
1753988027.meta.json,1753988027.json,en,organigram
1754071478.meta.json,1754071478.json,en,bpmn20
1754175180.meta.json,1754175180.json,pl,bpmn20
1754223742.meta.json,1754223742.json,de,bpmn20
1754294177.meta.json,1754294177.json,en,bpmn20
1962312975.meta.json,1962312975.json,de,bpmn20
1962405902.meta.json,1962405902.json,de,bpmn20
1962460203.meta.json,1962460203.json,de,bpmn20
196246889.meta.json,196246889.json,en,bpmn20
19625579.meta.json,19625579.json,en,bpmn20
1962561833.meta.json,1962561833.json,en,bpmn20
438240257.meta.json,438240257.json,tl,bpmn20
438292567.meta.json,438292567.json,de,bpmn20
43850383.meta.json,43850383.json,en,bpmn11
438588768.meta.json,438588768.json,en,bpmn20
438799404.meta.json,438799404.json,de,epc
438899020.meta.json,438899020.json,en,bpmn20
438931868.meta.json,438931868.json,hr,bpmn11
438995278.meta.json,438995278.json,en,bpmn20
439042995.meta.json,439042995.json,en,petrinet
439065384.meta.json,439065384.json,en,bpmn20
1335288459.meta.json,1335288459.json,pt,petrinet
1335292427.meta.json,1335292427.json,en,bpmn20
1335293107.meta.json,1335293107.json,en,bpmn20
1335367307.meta.json,1335367307.json,it,UML22Class
1335374102.meta.json,1335374102.json,en,bpmn20
1335427816.meta.json,1335427816.json,it,UMLUseCase
1335473888.meta.json,1335473888.json,en,bpmn20
1335486888.meta.json,1335486888.json,en,epc
1335578495.meta.json,1335578495.json,en,bpmn20
1335779740.meta.json,1335779740.json,de,bpmn20
844757978.meta.json,844757978.json,en,bpmn20
844853474.meta.json,844853474.json,en,bpmn11
844879419.meta.json,844879419.json,de,bpmn20
844926372.meta.json,844926372.json,fr,bpmn20
844962101.meta.json,844962101.json,es,bpmn20
844965525.meta.json,844965525.json,en,processmap
2073524651.meta.json,2073524651.json,en,epc
2073562434.meta.json,2073562434.json,en,bpmn20
2073669897.meta.json,2073669897.json,hu,bpmn20choreography
2073729608.meta.json,2073729608.json,en,bpmn20
2073851765.meta.json,2073851765.json,en,bpmn11
2073878771.meta.json,2073878771.json,hr,epc
2073881478.meta.json,2073881478.json,en,epc
1879363519.meta.json,1879363519.json,pt,bpmn11
1879389597.meta.json,1879389597.json,en,bpmn20
1879529699.meta.json,1879529699.json,en,bpmn20
1879567416.meta.json,1879567416.json,en,bpmn20
1879617821.meta.json,1879617821.json,en,bpmn11
187980716.meta.json,187980716.json,undetermined language,bpmn20
1879880157.meta.json,1879880157.json,hu,bpmn20
